morphemes	target	prediction	morphemes_predseg	prediction_predseg
Ku_ne_mi_hlobo	LocPre_AdvPre_BPre4_NStem	LocPre_AdvPre_BPre4_NStem	Ku_ne_mi_hlobo	LocPre_AdvPre_BPre4_NStem
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf
ye_lawulo	PossConc4_NStem	PossConc4_NStem	y_e_lawulo	PossConc5_LocPre_NStem
le_phrojekthi	Dem7_NStem	Dem4_NStem	le_phrojekthi	Dem7_NStem
e_korw_eni	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_korw_eni	LocPre_NStem_LocSuf
ye_zoku_thuthuk_is_a	PossConc9_Fut_VRoot_CausExt_VerbTerm	SC4_Fut_VRoot_CausExt_VerbTerm	ye_zoku_thuthuk_is_a	PossConc9_Fut_VRoot_CausExt_VerbTerm
.	Punc	Punc	.	Punc
Lokhu	Dem15	Dem15	Lokhu	Dem15
ku_vam_e	OC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_vam_e	SC15_VRoot_VerbTerm
u_ku_hluka	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	u_ku_hluk_a	NPrePre15_BPre15_VRoot_VerbTerm
e_mifuziselw_eni	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_mi_fuzis_elw_eni	LocPre_BPre4_VRoot_NStem_LocSuf
e_setjenziswa	LocPre_NStem	LocPre_NStem	e_setjenziswa	LocPre_NStem
e_phas_ini	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_phas_ini	LocPre_NStem_LocSuf
le_ze_rhwebo	PossConc5_BPre8_NStem	PossConc5_BPre8_NStem	le_ze_rhwebo	PossConc5_BPre8_NStem
.	Punc	Punc	.	Punc
E_bu_jam_eni	LocPre_BPre14_NStem_LocSuf	LocPre_SC14_NStem_LocSuf	E_bu_jam_eni	LocPre_SC14_NStem_LocSuf
be_Sewula	PossConc2_NStem	PossConc2_NStem	be_Sewula	PossConc2_NStem
Afrika	ProperName	ProperName	Afrika	ProperName
aku_na_mfuziselo	NegPre_AdvPre_NStem	NegPre_AdvPre_NStem	aku_na_mfuziselo	NegPre_AdvPre_NStem
w_e_koro	PossConc6_LocPre_NStem	PossConc1_LocPre_NStem	w_e_koro	PossConc1_LocPre_NStem
yo_m_buso	PossConc4_BPre3_NStem	PossConc4_BPre3_NStem	yo_m_buso	PossConc4_BPre3_NStem
e_bek_w_e	SC6_VRoot_PassExt_VerbTerm	RelConc9_VRoot_PassExt_VerbTerm	e_bek_w_e	RelConc4_VRoot_PassExt_VerbTerm
e_bu_jam_e_ni	LocPre_SC14_VRoot_VerbTerm_LocSuf	RelConc9_SC14_VRoot_VerbTerm_LocSuf	e_bu_jam_eni	RelConc9_SC14_NStem_LocSuf
obu_vunyelweko	RelConc14_NStem	RelConc14_NStem	obu_vunyelwe_ko	RelConc14_NStem_RelSuf
begodu	Conj	Conj	begodu	Conj
ku_zoku_ba	SC15_Fut_AuxVStem	BPre17_Fut_AuxVStem	ku_zoku_b_a	SC15_Fut_VRoot_VerbTerm
no_mehluko	AdvPre_NStem	AdvPre_NStem	no_mehluko	AdvPre_NStem
ngi_tjh_o	SC_VRoot_VerbTerm	SC10_VRoot_VerbTerm	ngi_tjho	CopPre_NStem
