morphemes	target	prediction	morphemes_predseg	prediction_predseg
ku_na_i_mi_hlobo	LocPre_AdvPre_NPrePre4_BPre4_NStem	LocPre_AdvPre_NPrePre4_BPre4_NStem	ku_na_i_mi_hlobo	LocPre_AdvPre_NPrePre4_BPre4_NStem
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf
ye_lawulo	PossConc4_NStem	PossConc4_NStem	ye_lawulo	PossConc4_NStem
le_i_phrojekthi	Dem7_Pos1_NPrePre4_NStem	Dem7_NPrePre4_NStem	le_i_phrojekthi	Dem7_NPrePre4_NStem
e_koro_eni	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_koro_eni	LocPre_NStem_LocSuf
ye_zoku_thuthuk_is_a	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_Fut_VRoot_CausExt_VerbTerm	ye_za_u_ku_thuthuk_is_a	PossConc9_PossConc10_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
.	Punc	Punc	.	Punc
lokhu	Dem15_Pos1	Dem15	lokhu	Dem15
ku_vam_e	OC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_vam_e	SC15_VRoot_VerbTerm
u_ku_hluka	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	u_ku_hluka	NPrePre15_BPre15_NStem
e_mifuziselo_eni	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_mi_fuziselo_eni	LocPre_BPre4_NStem_LocSuf
e_setjenziswa	LocPre_NStem	LocPre_NStem	e_setjenziswa	LocPre_NStem
e_phas_ini	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_phas_ini	LocPre_NStem_LocSuf
le_ze_rhwebo	PossConc5_BPre8_NStem	PossConc5_PossConc8_NStem	le_i_ze_rhwebo	AdvPre_NPrePre8_BPre8_NStem
.	Punc	Punc	.	Punc
e_bu_jama_eni	LocPre_BPre14_NStem_LocSuf	LocPre_BPre14_NStem_LocSuf	e_bu_jam_e_ini	LocPre_SC14_VRoot_VerbTerm_LocSuf
