morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Zi_ningi	AdjPref10_AdjStem	BPre8_AdjStem	AdjPref10_AdjStem	BPre8_AdjStem
i_zin_hlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem
ez_ehluk_en_e	RelConc10_VRoot_RecipExt_Perf_VerbTerm	RelConc10_VRoot_RecipExt_VerbTerm	RelConc10_VRoot_RecipExt_Perf_VerbTerm	RelConc10_VRoot_RecipExt_VerbTerm
zo_ku_phath_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm
kwe_phrojekthi	PossConc15_NPrePre5_NStem	PossConc15_NStem	PossConc15_NPrePre5_NStem	PossConc15_NStem
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm
e_m_khakhe_ni	LocPre_NPrePre3_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	LocPre_NPrePre3_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf
we_ze_ntuthuko	PossConc1_PossConc8_BPre9_NStem	PossConc3_PossConc10_NStem	PossConc1_PossConc8_BPre9_NStem	PossConc3_PossConc10_NStem
.	Punc	PUNC	Punc	PUNC
Lezi	Dem10_Pos1	CDEM10	Dem10_Pos1	CDEM10
zi_vam_a	SC8_Intrans_VerbTerm	SC8_VRoot_VerbTerm	SC8_Intrans_VerbTerm	SC8_VRoot_VerbTerm
u_kw_ehluk_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm
kwe_zi_nye	PossConc15_AdjPref8_AdjStem	PossConc15_AdjPref10_AdjStem	PossConc15_AdjPref8_AdjStem	PossConc15_BPre8_AdjStem
i_zin_dlel_a	NPrePre10_BPre10_NStem	NPrePre10_BPre10_VRoot_VerbTerm	NPrePre10_BPre10_NStem	NPrePre10_BPre10_VRoot_VerbTerm
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm
e_m_khakhe_ni	LocPre_NPrePre3_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	LocPre_NPrePre3_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf
o_hlangen_e	BPre2a_NStem	RelConc3_VRoot_VerbTerm	BPre2a_NStem	RelConc3_VRoot_VerbTerm
.	Punc	PUNC	Punc	PUNC
Ku_m_qondosizinda	BPre17_NStem	LocPre_BPre3_NStem	BPre17_NStem	LocPre_BPre3_NStem
(	Punc	PUNC	Punc	PUNC
