morphemes	target	prediction	morphemes_predseg	prediction_predseg
ti_nyenti	AdjPref10_AdjStem	AdjPref10_AdjStem	ti_nyenti	AdjPref10_AdjStem
tin_hlobo	BPre10_NStem	BPre10_NStem	tin_hlobo	BPre10_NStem
ta_ku_lawul_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm	ta_ku_lawul_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm
kwe_m_klamo	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem	kwe_m_klamo	PossConc15_NPre3_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_PassExt_VerbTerm_RelSuf	leti_setjentis_w_a_ko	RelConc10_VRoot_PassExt_VerbTerm_RelSuf
ku_lo_m_khakha	LocPre_Dem3_Pos1_BPre3_NStem	LocPre_Dem3_BPre3_NStem	ku_lo_m_khakha	LocPre_Dem3_BPre3_NStem
we_n_tfutfuko	PossConc9_BPre9_NStem	PossConc3_BPre9_NStem	wa_in_tfutfuko	PossConc3_BPre9_NStem
.	Punc	Punc	.	Punc
loku	Dem15_Pos1	Dem15	loku	Dem15
ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm	SC15_VRoot_CausExt_VerbTerm	ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm
kwa_ehluka	PossConc15_NStem	PossConc15_NStem	ku_ehluk_a	BPre15_VRoot_VerbTerm
ku_leti_n_hlobo	LocPre_Dem10_Pos1_NPre10_NStem	LocPre_RelConc10_BPre10_NStem	ku_leti_n_hlobo	LocPre_RelConc10_BPre10_NStem
leti_setjentis_w_a	RelConc8_VRoot_PassExt_VerbTerm	RelConc10_VRoot_PassExt_VerbTerm	leti_setjentis_w_a	RelConc10_VRoot_PassExt_VerbTerm
e_ma_bhizinisi_ini	NPrePre6_BPre6_NStem_LocSuf	LocPre_BPre6_NStem_LocSuf	e_ma_bhizinisini	LocPre_BPre6_NStem
.	Punc	Punc	.	Punc
nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem	nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem
i_Ningizimu	BPre5_ProperName	BPre5_ProperName	i_ningizimu	BPre9_NStem
Afrika	ProperName	ProperName	afrika	NStem
i_ent_a	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	i_ent_a	SC9_VRoot_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	nga_yo	AdvPre_PronStem9
,	Punc	Punc	,	Punc
a_yi_na_n_dlela	RelConc6_CopPre_NegPre_BPre9_NStem	RelConc6_OC9_AdvPre_BPre9_NStem	a_yi_nandlela	RelConc6_CopPre_NStem
le_yi_bek_ile	RelConc9_CopPre_VRoot_Perf	RelConc9_OC9_VRoot_Perf	le_yi_bek_ile	RelConc9_OC9_VRoot_Perf
ye_um_khakha	PossConc9_NPre3_NStem	PossConc9_NPre3_NStem	ya_m_khakha	PossConc9_BPre3_NStem
wa_u_mu_mango	PossConc3_NPrePre3_BPre3_NStem	PossConc3_NPrePre3_BPre3_NStem	wa_u_mu_mango	PossConc3_NPrePre3_BPre3_NStem
le_s_e_zinga_ini	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	le_s_e_zinga_ini	PossConc5_PreLoc-s_LocPre_NStem_LocSuf
leli_tsite	RelConc5_RelStem	RelConc5_RelStem	leli_tsite	RelConc5_RelStem
,	Punc	Punc	,	Punc
ngako_ke	Adv_Adv	Adv_Adv	ngako_ke	Adv_Adv
ku_tawu_ba	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	ku_tawu_ba	SC15_Fut_AuxVStem
