morphemes	target	prediction	target_canon	prediction_canon
ti_nyenti	AdjPref10_AdjStem	NStem_NStem	AdjPref10_AdjStem	NStem_NStem
tin_hlobo	BPre10_NStem	NStem_NStem	BPre10_NStem	NStem_NStem
ta_ku_lawul_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	NStem_NStem_NStem_NStem_NStem	PossConc10_BPre15_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_NStem
kwe_m_klamo	PossConc15_NPre3_NStem	NStem_NStem_NStem	PossConc15_NPre3_NStem	NStem_NStem_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot
ku_lo_m_khakha	LocPre_Dem3_Pos1_BPre3_NStem	NStem_NStem_NStem_NStem	LocPre_Dem3_Pos1_BPre3_NStem	NStem_NStem_NStem_NStem
we_n_tfutfuko	PossConc9_BPre9_NStem	VRoot_VRoot_VRoot	PossConc9_BPre9_NStem	VRoot_VRoot_VRoot
.	Punc	Punc	Punc	Punc
loku	Dem15_Pos1	Punc	Dem15_Pos1	Punc
ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem	SC15_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem
kwa_ehluka	PossConc15_NStem	NStem_NStem	PossConc15_NStem	NStem_NStem_NStem
ku_leti_n_hlobo	LocPre_Dem10_Pos1_NPre10_NStem	NStem_NStem_NStem_NStem	LocPre_Dem10_Pos1_NPre10_NStem	NStem_NStem_NStem_NStem
leti_setjentis_w_a	RelConc8_VRoot_PassExt_VerbTerm	VRoot_VRoot_NStem_VRoot	RelConc8_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot
e_ma_bhizinisi_ini	NPrePre6_BPre6_NStem_LocSuf	VRoot_VRoot_NStem_VRoot	NPrePre6_BPre6_NStem_LocSuf	NStem_NStem_NStem
.	Punc	Punc	Punc	Punc
nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem	VRoot_NStem_VRoot_NStem	AdvPre_NPrePre9_BPre9_NStem	NStem_NStem_NStem_NStem
i_Ningizimu	BPre5_ProperName	NStem_NStem	BPre5_ProperName	NStem_NStem
Afrika	ProperName	Punc	ProperName	Punc
i_ent_a	SC9_VRoot_VerbTerm	NStem_NStem_NStem	SC9_VRoot_VerbTerm	Punc_Punc_Punc
nga_yo	AdvPre_PronStem9	Punc_Punc	AdvPre_PronStem9	Punc_Punc
,	Punc	Punc	Punc	Punc
a_yi_na_n_dlela	RelConc6_CopPre_NegPre_BPre9_NStem	NStem_NStem_NStem_NStem_NStem	RelConc6_CopPre_NegPre_BPre9_NStem	NStem_NStem_NStem
le_yi_bek_ile	RelConc9_CopPre_VRoot_Perf	NStem_NStem_NStem_NStem	RelConc9_CopPre_VRoot_Perf	NStem_NStem_NStem_NStem
ye_um_khakha	PossConc9_NPre3_NStem	NStem_NStem_NStem	PossConc9_NPre3_NStem	NStem_NStem_NStem
wa_u_mu_mango	PossConc3_NPrePre3_BPre3_NStem	NStem_NStem_NStem_NStem	PossConc3_NPrePre3_BPre3_NStem	NStem_NStem_NStem_NStem
le_s_e_zinga_ini	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	VRoot_VRoot_VRoot_VRoot_VRoot	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	VRoot_VRoot_VRoot_VRoot_VRoot
leli_tsite	RelConc5_RelStem	NStem_NStem	RelConc5_RelStem	NStem_NStem
,	Punc	Punc	Punc	Punc
ngako_ke	Adv_Adv	NStem_NStem	Adv_Adv	NStem_NStem
ku_tawu_ba	SC15_Fut_AuxVStem	NStem_NStem_NStem	SC15_Fut_AuxVStem	NStem_NStem_NStem
ne_ku_ehlukahluk_an_a	AdvPre_BPre15_VRoot_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	AdvPre_BPre15_VRoot_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
e_m_khatsi_ini	LocPre_BPre3_NStem_LocSuf	NStem_NStem_NStem_NStem	LocPre_BPre3_NStem_LocSuf	NStem_NStem_NStem_NStem
kwe_tin_dlela	PossConc15_BPre10_NStem	NStem_NStem_NStem	PossConc15_BPre10_NStem	NStem_NStem_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot
ku_ma_tiko	LocPre_NPre6_NStem	NStem_NStem_NStem	LocPre_NPre6_NStem	NStem_NStem_NStem
la_hlukahluk_en_e	PossConc5_VRoot_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot	PossConc5_VRoot_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot
a_hulumende	RelConc6_NStem	NStem_NStem	RelConc6_NStem	NStem_NStem
.	Punc	Punc	Punc	Punc
e_ma_lunga	NPrePre6_BPre6_NStem	NStem_NStem_NStem	NPrePre6_BPre6_NStem	NStem_NStem_NStem
e_ikomidi	PossConc6_NStem	NStem_NStem	PossConc6_NStem	NStem_NStem_NStem
le_wadi	PossConc5_NStem	NStem_NStem	PossConc5_NStem	NStem_NStem
ku_fanel_e	SC15_VRoot_VerbTerm	NStem_NStem_NStem	SC15_VRoot_VerbTerm	NStem_NStem_NStem
a_ku_jwayel_e	SC6_OC15_VRoot_VerbTerm	VRoot_NStem_NStem_NStem	SC6_OC15_VRoot_VerbTerm	VRoot_VRoot_VRoot_VRoot
ku_lawul_w_a	SC15_VRoot_PassExt_VerbTerm	NStem_VRoot_NStem_NStem	SC15_VRoot_PassExt_VerbTerm	NStem_NStem_NStem_NStem
kwe_m_klamo	PossConc15_NPre3_NStem	NStem_NStem_NStem	PossConc15_NPre3_NStem	NStem_NStem_NStem
we_m_jikeleto	PossConc3_BPre3_NStem	NStem_NStem_NStem	PossConc3_BPre3_NStem	NStem_NStem_NStem
(	Punc	Punc	Punc	Punc
PCM	Abbr	Punc	Abbr	Punc
)	Punc	Punc	Punc	Punc
njengo_ba	AdvPre_AuxVStem	NStem_NStem	AdvPre_AuxVStem	Punc
ku_ngi_yo	AdvPre_CopPre_PronStem9	NStem_NStem_NStem	AdvPre_CopPre_PronStem9	NStem_NStem_NStem
i_n_dlela	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NStem_NStem_NStem
le_vam_is_e	RelConc9_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem	RelConc9_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem
ku_setjentis_w_a	SC15_VRoot_PassExt_VerbTerm	NStem_NStem_NStem_NStem	SC15_VRoot_PassExt_VerbTerm	NStem_NStem_NStem_NStem
ka_khulu	AdvPre_AdjStem	Punc_Punc	AdvPre_AdjStem	NStem_NStem
.	Punc	Punc	Punc	NStem
loku_ehluka	RelConc5_NStem	NStem_NStem	RelConc5_NStem	NStem_NStem_NStem
hlukanis_w_a	VRoot_PassExt_VerbTerm	NStem_NStem_NStem	VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot
kwa_e_ma_gama	PossConc15_NPrePre6_BPre6_NStem	NStem_NStem_NStem_NStem	PossConc15_NPrePre6_BPre6_NStem	NStem_NStem_NStem_NStem
e_ma_zinga	NPrePre6_BPre6_NStem	NStem_NStem_NStem	NPrePre6_BPre6_NStem	Punc_Punc_Punc
noma	Conj	Punc	Conj	Punc
i_mi_khakha	NPrePre4_NPre4_NStem	NStem_NStem_NStem	NPrePre4_NPre4_NStem	NStem_NStem_NStem
ye_m_klamo	PossConc4_BPre3_NStem	Punc_NStem_Punc	PossConc4_BPre3_NStem	NStem_NStem_NStem
we_m_jikeleto	PossConc3_BPre3_NStem	NStem_NStem_NStem	PossConc3_BPre3_NStem	NStem_NStem_NStem
ku_nga_ehluk_a	SC15_AdvPre_VRoot_VerbTerm	NStem_NStem_NStem_NStem	SC15_AdvPre_VRoot_VerbTerm	NStem_NStem_NStem_NStem
ku_y_e	SC15_VRoot_VerbTerm	Punc_Punc_Punc	SC15_VRoot_VerbTerm	Punc_Punc_Punc
nga_m_chubisifundvo	AdvPre_BPre3_NStem	VRoot_VRoot_VRoot	AdvPre_BPre3_NStem	VRoot_VRoot_VRoot
lo_sekel_a	PossConc5_VRoot_VerbTerm	NStem_NStem_NStem	PossConc5_VRoot_VerbTerm	NStem_NStem_NStem
nga_ti_mali	AdvPre_BPre10_NStem	NStem_NStem_NStem	AdvPre_BPre10_NStem	NStem_NStem_NStem
noma	Conj	Punc	Conj	Punc
nga_li_tiko	AdvPre_BPre5_NStem	Punc_NStem_NStem	AdvPre_BPre5_NStem	NStem_NStem
la_hulumende	PossConc5_NStem	NStem_NStem	PossConc5_NStem	NStem_NStem
.	Punc	Punc	Punc	Punc
ba_si_fazane	PossConc2_BPre7_NStem	NStem_NStem_NStem	PossConc2_BPre7_NStem	NStem_NStem_NStem
ku_khona	SC15_Adv	NStem_NStem	SC15_Adv	NStem_NStem
ti_hibe	BPre8_NStem	Punc_NStem	BPre8_NStem	NStem_NStem_NStem
laba_hlangan_ile	RelConc2_VRoot_Perf	NStem_NStem_NStem	RelConc2_VRoot_Perf	NStem_NStem_NStem
na_to	AdvPre_PronStem10	Punc_Punc	AdvPre_PronStem10	Punc_Punc
na_ba_sa_hlanganyel_a	AdvPre_SC2_ProgPre_VRoot_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	AdvPre_SC2_ProgPre_VRoot_VerbTerm	NStem_NStem_NStem_NStem_NStem
ku_le_mi_sebenti	LocPre_Dem4_Pos1_BPre4_NStem	NStem_NStem_NStem_NStem	LocPre_Dem4_Pos1_BPre4_NStem	NStem_VRoot_NStem_NStem
ye_lu_hlelo	PossConc4_NPre11_NStem	NStem_NStem_NStem	PossConc4_NPre11_NStem	NStem_NStem_NStem
?	Punc	Punc	Punc	Punc
bo_babe_ke	NPre2a_NStem_Adv	Punc_Punc_Punc	NPre2a_NStem_Adv	NStem_NStem_NStem_NStem_NStem
bo_na	PronStem2_PronSuf	Punc_Punc	PronStem2_PronSuf	Punc
?	Punc	Punc	Punc	Punc
na_ku_njalo	AdvPre_SC15_Adv	Punc_NStem_NStem	AdvPre_SC15_Adv	NStem_NStem_NStem
,	Punc	Punc	Punc	Punc
be_ti_yini	AuxVStem_SC8_Interrog	NStem_NStem_NStem	AuxVStem_SC8_Interrog	NStem_NStem_NStem
leto_ti_hibe	Dem8_Pos2_NPrePre8_NStem	NStem_NStem_NStem	Dem8_Pos2_NPrePre8_NStem	NStem_NStem_NStem
?	Punc	Punc	Punc	Punc
i_Batho	NPre9_ProperName	NStem_NStem	NPre9_ProperName	NStem_NStem
Pele	ProperName	Punc	ProperName	Punc
i_dzing_a	SC4_VRoot_VerbTerm	NStem_NStem_NStem	SC4_VRoot_VerbTerm	NStem_NStem_NStem
kutsi	Conj	Punc	Conj	Punc
wo_nkhe	QuantConc1_QuantStem	NStem_NStem	QuantConc1_QuantStem	NStem_NStem
u_mu_ntfu	NPrePre1_BPre1_NStem	NStem_NStem_NStem	NPrePre1_BPre1_NStem	NStem_NStem_NStem
lo_wu_ent_a	RelConc1_OC1_VRoot_VerbTerm	NStem_VRoot_VRoot_NStem	RelConc1_OC1_VRoot_VerbTerm	VRoot_VRoot_VRoot_VRoot
u_mu_sebenti	NPrePre3_BPre3_NStem	NStem_NStem_NStem	NPrePre3_BPre3_NStem	NStem_NStem_NStem
wa_hulumende	PossConc3_NStem	NStem_NStem	PossConc3_NStem	NStem_NStem
ku_mel_e	SC15_VRoot_VerbTerm	NStem_NStem_NStem	SC15_VRoot_VerbTerm	NStem_NStem_NStem
a_ti_gcabh_e	SC1_ReflPre_VRoot_VerbTerm	NStem_NStem_NStem_NStem	SC1_ReflPre_VRoot_VerbTerm	NStem_NStem_NStem_NStem
nge_ku_ba	AdvPre_BPre15_AuxVStem	NStem_NStem_NStem	AdvPre_BPre15_AuxVStem	NStem_NStem_NStem
si_sebenti	BPre7_NStem	NStem_NStem	BPre7_NStem	NStem_NStem
sa_ba_ntfu	PossConc7_BPre2_NStem	NStem_NStem_NStem	PossConc7_BPre2_NStem	NStem_NStem_NStem
kantsi	Conj	Punc	Conj	Punc
i_mi_gomosisekelo	NPrePre4_BPre4_NStem	VRoot_VRoot_VRoot	NPrePre4_BPre4_NStem	VRoot_VRoot_VRoot
lesi_phohlongo	RelConc7_NStem	NStem_NStem	RelConc7_NStem	NStem_NStem
le_s_e_mu_tsetfo_ini	RelConc4_PreLoc-s_LocPre_BPre3_NStem_LocSuf	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot	RelConc4_PreLoc-s_LocPre_BPre3_NStem_LocSuf	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot
i_ent_a	SC4_VRoot_VerbTerm	NStem_NStem_NStem	SC4_VRoot_VerbTerm	NStem_NStem_NStem
si_sekelo	BPre7_NStem	NStem_NStem	BPre7_NStem	NStem_NStem
lapho	Conj	Punc	Conj	Punc
ku_tfutfuk_a	BPre15_VRoot_VerbTerm	NStem_VRoot_NStem	BPre15_VRoot_VerbTerm	VRoot_VRoot_VRoot
kwa_bo_hulumende	PossConc15_BPre2a_NStem	NStem_NStem_NStem	PossConc15_BPre2a_NStem	NStem_NStem_NStem
ba_s_e_li_khaya	PossConc2a_PreLoc-s_LocPre_BPre5_NStem	NStem_NStem_NStem_NStem_NStem	PossConc2a_PreLoc-s_LocPre_BPre5_NStem	NStem_NStem_VRoot_NStem_NStem
loku_condz_is_w_e	RelConc15_VRoot_CausExt_PassExt_VerbTerm	VRoot_NStem_NStem_NStem_NStem	RelConc15_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
ku_ti_dzingo	BPre17_BPre10_NStem	NStem_NStem_NStem	BPre17_BPre10_NStem	Punc_Punc_Punc
ta_u_ma_mango	PossConc8_NPrePre3_BPre3_NStem	NStem_VRoot_NStem_NStem	PossConc8_NPrePre3_BPre3_NStem	VRoot_VRoot_VRoot_VRoot
wa_n_dzawo	PossConc3_BPre9_NStem	NStem_VRoot_NStem	PossConc3_BPre9_NStem	NStem_NStem_NStem
ku_tawu_condz_is_w_a	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot	SC15_Fut_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot
khona	Adv	Punc	Adv	Punc
.	Punc	Punc	Punc	Punc
ngen_is_a	VRoot_CausExt_VerbTerm	NStem_NStem_NStem	VRoot_CausExt_VerbTerm	NStem_NStem_NStem
ti_gaba	BPre8_NStem	Punc_Punc	BPre8_NStem	Punc_Punc
ta_mvila-balave	PossConc8_NStem	VRoot_VRoot	PossConc8_NStem	NStem_NStem_NStem
u_sebent_is_a	SC1_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem	SC1_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem
i_data	BPre9_Foreign	Punc_Punc	BPre9_Foreign	NStem_NStem_NStem
projektha	NStem	Punc	NStem	Punc
,	Punc	Punc	Punc	Punc
nobe	Conj	Punc	Conj	Punc
i_projektha	NPre9_NStem	NStem_NStem	NPre9_NStem	Punc_NStem
ye_overhead	PossConc9_Foreign	Punc_Punc	PossConc9_Foreign	NStem_NStem
.	Punc	Punc	Punc	Punc
uma	Conj	Punc	Conj	Punc
ni_ngana_ko	SC2pp_NegPre_PronStem15	NStem_NStem_NStem	SC2pp_NegPre_PronStem15	NStem_NStem_NStem_NStem
laba_ngen_el_e	RelConc2_VRoot_ApplExt_VerbTerm	NStem_NStem_NStem_NStem	RelConc2_VRoot_ApplExt_VerbTerm	NStem_NStem_NStem_NStem
ti_fundvo	BPre8_NStem	NStem_NStem	BPre8_NStem	NStem_NStem
ba_nga_sebent_is_a	SC2_Pot_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem_NStem	SC2_Pot_VRoot_CausExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
e_ma_notsi	NPrePre6_BPre6_NStem	NStem_NStem_NStem	NPrePre6_BPre6_NStem	NStem_NStem_NStem
a_bo	PossConc6_PronStem14	Punc_Punc	PossConc6_PronStem14	Punc_Punc
a_si_fundvo	PossConc6_BPre7_NStem	NStem_NStem_Punc	PossConc6_BPre7_NStem	NStem_NStem_NStem
,	Punc	NStem	Punc	Punc
li_khasi	BPre5_NStem	NStem_NStem	BPre5_NStem	Punc_Punc
52	Num	Punc	Num	Punc
ku_landzel_a	BPre15_VRoot_VerbTerm	NStem_NStem_NStem	BPre15_VRoot_VerbTerm	NStem_NStem_NStem
i_n_chazelo	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NStem_NStem_NStem
.	Punc	Punc	Punc	Punc
phawul_a	VRoot_VerbTerm	NStem_NStem	VRoot_VerbTerm	NStem_NStem
leso	Dem7_Pos1	Punc	Dem7_Pos1	Punc
na_leso	AdvPre_Dem7_Pos2	NStem_NStem	AdvPre_Dem7_Pos2	Punc_Punc
si_gaba	BPre7_NStem	Punc_Punc	BPre7_NStem	Punc_Punc
u_sebent_is_a	SC2ps_VRoot_CausExt_VerbTerm	NStem_NStem_NStem_NStem	SC2ps_VRoot_CausExt_VerbTerm	VRoot_VRoot_VRoot_VRoot
lo_m_dvwebo	Dem3_Pos1_BPre3_NStem	NStem_VRoot_VRoot	Dem3_Pos1_BPre3_NStem	NStem_NStem_NStem
.	Punc	Punc	Punc	Punc
ku_khulum_is_an_a	BPre15_VRoot_CausExt_RecipExt_VerbTerm	NStem_NStem_NStem_NStem_NStem	BPre15_VRoot_CausExt_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
yi_i_n_chubo	CopPre_NPrePre9_BPre9_NStem	NStem_NStem_NStem_NStem	CopPre_NPrePre9_BPre9_NStem	NStem_NStem_NStem
ya_ku_ts_i	PossConc9_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	PossConc9_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem
e_ma_cembu	NPrePre6_BPre6_NStem	NStem_NStem_NStem	NPrePre6_BPre6_NStem	NStem_NStem_NStem
la_lw_el_a	PossConc6_VRoot_ApplExt_VerbTerm	NStem_NStem_NStem_NStem	PossConc6_VRoot_ApplExt_VerbTerm	NStem_NStem_NStem_NStem
i_mi_phumela	NPrePre4_BPre4_NStem	Punc_Punc_Punc	NPrePre4_BPre4_NStem	NStem_NStem_NStem
le_ye_ehluk_en_e	RelConc4_Pres_VRoot_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc4_Pres_VRoot_RecipExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
a_lw_ile	SC6_VRoot_Perf	NStem_NStem_NStem	SC6_VRoot_Perf	NStem_NStem_NStem
u_mu_phumela	NPrePre3_BPre3_NStem	VRoot_VRoot_VRoot	NPrePre3_BPre3_NStem	VRoot_NStem_NStem
la_vum_el_an_ile	RelConc6_VRoot_ApplExt_RecipExt_Perf	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc6_VRoot_ApplExt_RecipExt_Perf	NStem_NStem_NStem_VRoot_NStem
