morphemes	target	prediction
ku_na_i_mi_hlobo	LocPre_AdvPre_NPrePre4_BPre4_NStem	BPre15_Interrog_VerbTerm_BPre4_NStem
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	VerbTerm_PossConc9_NStem_RelSuf
ye_lawulo	PossConc4_NStem	PossConc4_NStem
le_i_phrojekthi	Dem7_NPrePre4_NStem	Dem9_VerbTerm_NStem
e_koro_eni	LocPre_NStem_LocSuf	VerbTerm_NStem_LocSuf
ye_zoku_thuthuk_is_a	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc4_Fut_VRoot_CausExt_VerbTerm
.	Punc	Punc
lokhu	Dem15	Dem15
ku_vam_e	OC15_VRoot_VerbTerm	BPre15_NStem_VerbTerm
u_ku_hluka	NPrePre15_BPre15_NStem	NPrePre1a_BPre15_NStem
e_<?unk?>_eni	LocPre_NStem_LocSuf	VerbTerm_Foreign_LocSuf
e_setjenziswa	LocPre_NStem	VerbTerm_NStem
e_phas_ini	LocPre_NStem_LocSuf	VerbTerm_NStem_LocSuf
le_ze_rhwebo	PossConc5_BPre8_NStem	Dem9_Pres_NStem
.	Punc	Punc
e_bu_jama_eni	LocPre_BPre14_NStem_LocSuf	VerbTerm_BPre14_ProperName_LocSuf
be_sewula	PossConc2_NStem	PossConc2_NStem
Afrika	ProperName	ProperName
aku_na_<?unk?>	NegPre_AdvPre_NStem	NegPre_Interrog_Foreign
w_e_koro	PossConc6_LocPre_NStem	PossConc1a_VerbTerm_NStem
ya_u_mu_buso	PossConc4_NPrePre3_BPre3_NStem	PossConc9_NPrePre1a_BPre1_NStem
e_bek_w_e	SC6_VRoot_PassExt_VerbTerm	VerbTerm_NStem_PossConc1a_VerbTerm
e_bu_jam_e_ini	LocPre_SC14_VRoot_VerbTerm_LocSuf	VerbTerm_BPre14_LocPre_VerbTerm_LocSuf
obu_<?unk?>	RelConc14_NStem	RelConc14_Foreign
begodu	Conj	Conj
ku_zoku_ba	SC15_Fut_AuxVStem	BPre15_Fut_PossConc2
no_mehluko	AdvPre_NStem	AdvPre_NStem
ngi_tjh_o	SC1ps_VRoot_VerbTerm	CopPre_Adv_VerbTerm
na_hlanga_ana	AdvPre_NStem_DimSuf	Interrog_NStem_DimSuf
na_i_mi_fuziselo	AdvPre_NPrePre4_BPre4_NStem	Interrog_VerbTerm_BPre4_NStem
e_mi_nyango_eni	LocPre_BPre4_NStem_LocSuf	VerbTerm_BPre4_NStem_LocSuf
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	VerbTerm_PossConc9_NStem_RelSuf
ka_rhulumende	PossConc6_NStem	AdvPre_NStem
.	Punc	Punc
a_ma_lunga	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
w_e_komidi	PossConc1_LocPre_NStem	PossConc1a_VerbTerm_NStem
ye_wadi	PossConc4_NStem	PossConc4_NStem
ku_fan_el_e	OC15_VRoot_ApplExt_VerbTerm	BPre15_VRoot_ApplExt_VerbTerm
a_zi_jayez_e	RelConc6_SC8_Intrans_VerbTerm	VerbTerm_NStem_NStem_VerbTerm
nga_lawulo	AdvPre_NStem	AdvPre_NStem
lo_i_mu_zombe	Dem1a_NPrePre10_BPre10_NStem	Dem1_VerbTerm_BPre1_NStem
w_e_phrojekthi	PossConc1a_LocPre_NStem	PossConc1a_VerbTerm_NStem
(	Punc	Punc
i_PCM	NPrePre4_Abbr	VerbTerm_Abbr
)	Punc	Punc
njenga_omu_bana	AdvPre_AdjPref1_AdjStem	AdvPre_AdjPref3_AdjStem
lo	Dem3	Dem1
,	Punc	Punc
ku_<?unk?>	BPre15_NStem	BPre15_Foreign
o_setjenziswa	RelConc3_NStem	VerbTerm_NStem
<?unk?>	NStem	Foreign
.	Punc	Punc
u_ku_<?unk?>	NPrePre15_BPre15_NStem	NPrePre1a_BPre15_Foreign
na_u_ku_nikel_w_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	Interrog_NPrePre1a_BPre15_NegCopPre_PossConc1a_VerbTerm
kwa_a_ma_gama	PossConc15_NPrePre6_BPre6_NStem	PossConc15_VerbTerm_BPre6_NStem
kwe_e_n_teji	PossConc15_LocPre_BPre3_NStem	PossConc15_VerbTerm_BPre9_NStem
na_mtjhana	AdvPre_NStem	Interrog_NStem
i_in_gaba	NPrePre8_NPre8_NStem	VerbTerm_Foreign_NStem
za_u_mu_zombe	PossConc8_NPrePre10_BPre10_NStem	PossConc10_NPrePre1a_BPre1_NStem
we_phrojekthi	PossConc1a_NStem	PossConc3_NStem
ku_nga_hluk_a	OC15_AdvPre_VRoot_VerbTerm	BPre15_AdvPre_NStem_VerbTerm
ku_y_a	BPre15_VRoot_VerbTerm	BPre15_PossConc9_VerbTerm
nga_ejensi	AdvPre_NStem	AdvPre_NStem
e_sekel_a	RelConc9_VRoot_VerbTerm	VerbTerm_NStem_VerbTerm
nge_e_mali	AdvPre_LocPre_NStem	AdvPre_VerbTerm_NStem
na_mtjhana	AdvPre_NStem	Interrog_NStem
u_m_nyango	NPrePre1_BPre1_NStem	NPrePre1a_BPre3_NStem
ka_rhulumende	PossConc6_NStem	AdvPre_NStem
.	Punc	Punc
